category,松山區,信義區,大安區,中山區,中正區,大同區,萬華區,文山區,南港區,內湖區,士林區,北投區
camera_cnt,1129,1012,1851,1440,1869,868,1009,1350,738,1370,1480,1300
police_cnt,7,8,8,9,15,9,10,10,5,10,11,10
bur_house,81,91,168,195,122,97,196,73,94,130,177,158
bur_car,12,12,19,24,9,18,40,21,19,12,25,41
bur_motor,77,140,151,216,149,169,378,93,85,73,200,183
bur_bike,97,159,324,117,130,145,161,93,62,79,113,115
population,192511,206209,290419,214563,149962,120224,175961,260641,115384,275847,268608,244096
